Particulars,Bank,Q1 2064,Q2 2064,Q3 2064,Q4 2064,Q1 2065,Q2 2065,Q3 2065,Q4 2065,Q1 2066,Q2 2066,Q3 2066,Q4 2066,Q1 2067,Q2 2067,Q3 2067,Q4 2067,Q1 2068,Q2 2068,Q3 2068,Q4 2068,Q1 2069,Q2 2069,Q3 2069,Q4 2069,Q1 2070,Q2 2070,Q3 2070,Q4 2070,Q1 2071,Q2 2071,Q3 2071,Q4 2071,Q1 2072,Q2 2072,Q3 2072,Q4 2072,Q1 2073,Q2 2073,Q3 2073,Q4 2073,Q1 2074,Q2 2074,Q3 2074,Q4 2074,Q1 2075,Q2 2075,Q3 2075,Q4 2075,Q1 2076,Q2 2076,Q3 2076,Q4 2076,Q1 2077,Q2 2077,Q3 2077,Q4 2077,Q1 2078,Q2 2078,Q3 2078,Q4 2078,Q1 2079,Q2 2079,Q3 2079,Q4 2079,Q1 2080,Q2 2080,Q3 2080,Q4 2080
debt ratio,NMB Bank,,,,,,,,,,,,,,,,,0.148634 0.088060 0.973641,-0.308904 -0.794395 -1.028574,,,,,,-0.252848 -0.448924 -0.783270,,,,-0.264968 -0.447391 -0.836308,,,,-0.289208 -0.330236 -0.942386,-0.163461 -0.057807 -0.392108,,,-0.142251 -0.419176 -0.299290,0.112273 0.394532 0.814525,-0.024079 -0.217202 0.217838,-0.118011 -0.113446 -0.193213,0.066822 0.981413 0.615629,0.086518 1.247442 0.701817,0.365282 1.565951 1.921710,-0.030139 0.422655 0.191319,0.028947 0.586506 0.449883,0.010766 1.112153 0.370325,0.612231 2.770855 3.002375,0.548600 1.862176 2.723922,0.003191 1.404048 0.337175,0.089548 1.606491 0.715077,-0.286178 -0.766303 -0.929126,-0.264968 -0.491699 -0.836308,-0.290723 -1.782550 -0.949016,-0.295268 -0.913677 -0.968905,-0.287693 0.113378 -0.935756,-0.314964 -0.693203 -1.055093,-0.131646 1.762810 -0.252881,-0.005899 2.239473 0.297396,-0.193762 1.534515 -0.524705,-0.280118 -0.525296 -0.902607,-0.158916 0.761151 -0.372219,0.018342 1.258803 0.403474,-0.142251 0.631300 -0.299290,-0.195277 0.329200 -0.531335,-0.234667 -0.454285 -0.703711,,,,
interest income to assets ratio,NMB Bank,,,,,,,,,,,,,,,,,0.331864 -0.093613 -0.052789,-0.109108 0.161393 -0.163757,-0.071537 -2.076372 -0.154302,0.189487 0.282241 -0.088617,0.317362 0.336788 -0.056438,-0.126905 0.528739 -0.168235,0.000970 0.244306 -0.136056,0.099843 -0.199981 -0.111175,0.203988 -0.015205 -0.084968,-0.151294 0.064902 -0.174373,-0.035283 -0.279763 -0.145179,0.066885 0.128754 -0.119469,0.155870 -0.314513 -0.097076,-0.151953 1.327838 -0.174538,-0.060331 0.367789 -0.151482,0.013494 0.012148 -0.132905,0.078091 -0.297645 -0.116649,-0.175682 -0.092191 -0.180510,-0.072196 0.199137 -0.154468,0.009539 0.237307 -0.133900,0.086000 -0.100042 -0.114659,-0.171068 0.796009 -0.179349,-0.072196 0.440625 -0.154468,0.018767 -0.171618 -0.131578,0.198056 0.953801 -0.086461,-0.127564 0.532562 -0.168401,0.006243 0.358859 -0.134729,27.768360 3.872952 6.851451,0.284405 0.496444 -0.064731,-0.122291 0.479371 -0.167074,0.026018 0.314171 -0.129753,-0.140088 -1.005104 -0.171553,-0.127564 -0.357745 -0.168401,-0.148657 -1.730116 -0.173709,-0.132179 0.079126 -0.169562,-0.130860 0.387663 -0.169231,-0.145362 -0.040040 -0.172880,-0.152612 -0.088282 -0.174704,-0.163818 0.223027 -0.177524,-0.171068 -0.069112 -0.179349,-0.171728 -0.296075 -0.179515,-0.164477 -0.125129 -0.177690,-0.160522 -0.425953 -0.176695,-0.139429 -0.351667 -0.171387,-0.119655 -0.435676 -0.166411,-0.115041 -0.699826 -0.165250,-0.113722 0.215682 -0.164918,-0.112404 -0.805837 -0.164586,,,,
interest income margin,NMB Bank,,,,,,,,,,,,,,,,,0.465465 -0.693599 1.695938,-0.356308 -0.688886 -1.024767,-0.102864 -0.157146 -0.185671,0.108339 -0.265702 0.513575,0.346423 -0.556091 1.301817,-0.248787 0.557838 -0.668787,0.077619 0.328335 0.411867,0.342583 -0.289355 1.289103,0.572987 -0.545723 2.051918,-0.325588 0.012324 -0.923058,-0.056783 -0.285741 -0.033108,0.196661 -0.626130 0.805988,0.423224 -0.875933 1.556088,-0.264147 0.859452 -0.719641,0.023858 0.319902 0.233877,0.208181 0.013099 0.844128,0.288822 -1.441189 1.111113,-0.360148 -0.355199 -1.037481,-0.214226 -2.134662 -0.554365,0.238901 -0.091167 0.945837,0.476985 -0.394440 1.734078,-0.283347 0.327777 -0.783209,0.004657 0.163574 0.170309,0.200501 -0.093519 0.818701,0.626747 0.197845 2.229908,-0.302547 0.220739 -0.846777,-0.006863 0.017175 0.132168,0.238901 -0.236281 0.945837,0.546106 -0.048327 1.962923,-0.244946 0.228213 -0.656073,0.092979 0.267768 0.462721,-0.267987 -0.659268 -0.732355,-0.244946 -0.161140 -0.656073,-0.298707 -1.460213 -0.834063,-0.241106 1.017544 -0.643360,-0.237266 1.657780 -0.630646,-0.321748 -0.037478 -0.910345,-0.298707 0.159676 -0.834063,-0.283347 1.267080 -0.783209,-0.325588 0.120640 -0.923058,-0.344788 -0.419667 -0.986626,-0.340948 -0.125290 -0.973913,-0.371668 -0.173849 -1.075621,-0.310228 -0.057558 -0.872204,-0.260307 -0.139465 -0.706928,-0.275667 -0.613285 -0.757782,-0.264147 0.904337 -0.719641,-0.271827 -0.277878 -0.745068,,,,
return on investment,NMB Bank,,,,,,,,,,,,,,,,,0.520767 0.481535 1.655549,-0.352416 0.034494 -1.000528,-0.302722 -0.360583 -0.849369,-0.260128 -0.664449 -0.719804,-0.302722 -1.380071 -0.849369,-0.203336 1.269772 -0.547051,0.038032 0.917201 0.187149,0.279399 0.513857 0.921349,0.499470 0.319247 1.590767,-0.274326 0.222392 -0.762992,0.009636 -0.275092 0.100773,0.243904 0.137274 0.813379,0.471074 -0.297420 1.504391,-0.196237 1.074413 -0.525457,0.073527 0.331334 0.295120,0.251003 0.048037 0.834973,0.343291 -0.425317 1.115696,-0.316920 -0.298322 -0.892557,-0.153642 -1.803171 -0.395892,0.329093 -0.046420 1.072508,0.598856 -0.449763 1.893085,-0.217534 0.003534 -0.590239,0.080626 -0.290919 0.316714,0.357489 -0.068836 1.158885,0.783432 0.155622 2.454532,-0.160741 0.979046 -0.417486,0.222607 0.931040 0.748596,0.463975 0.354521 1.482796,0.719540 0.311685 2.260185,-0.189138 0.070933 -0.503863,0.144518 0.295534 0.511061,-0.238831 -0.053684 -0.655022,-0.174939 -0.084568 -0.460675,-0.182039 0.967538 -0.482269,-0.189138 0.428982 -0.503863,-0.423406 -1.361758 -1.216469,-0.373713 0.504577 -1.065310,-0.245930 0.656211 -0.676616,-0.217534 0.732738 -0.590239,-0.224633 0.291327 -0.611833,-0.437604 -0.598396 -1.259657,-0.210435 1.695063 -0.568645,-0.331118 0.179059 -0.935745,-0.253029 0.756122 -0.698210,-0.238831 0.030041 -0.655022,-0.288524 0.243325 -0.806181,-0.267227 0.977707 -0.741398,-0.331118 0.582322 -0.935745,,,,
commission to operating income,NMB Bank,,,,,,,,,,,,,,,,,-0.312570 -0.675145 -1.182017,-0.477179 -1.569187 -1.959148,-0.297929 -1.186283 -1.112893,-0.151067 -0.368881 -0.419549,-0.217177 -0.459907 -0.731659,-0.297041 -1.054975 -1.108703,-0.319226 -1.000093 -1.213438,-0.308134 -0.811034 -1.161071,-0.301034 -0.691636 -1.127555,-0.215402 -0.500597 -0.723280,-0.263321 -0.794988 -0.949507,-0.242911 -0.639207 -0.853151,-0.214071 -0.294671 -0.716996,-0.159941 -0.261812 -0.461443,-0.181238 -0.304449 -0.561989,-0.194105 -0.311388 -0.622735,-0.182126 -0.137598 -0.566178,-0.012636 -0.063224 0.233995,-0.158166 0.144339 -0.453065,-0.195880 -0.133187 -0.631113,-0.124446 0.487539 -0.293868,-0.219839 -0.180400 -0.744227,-0.054787 0.849368 0.034999,-0.041032 0.737860 0.099934,0.011323 1.082333 0.347108,0.140437 1.157268 0.956663,0.037945 0.874102 0.472790,-0.033933 0.772697 0.133449,-0.056118 0.754015 0.028715,-0.153729 -1.228362 -0.432118,-0.194105 -0.545461 -0.622735,0.085863 0.220227 0.699016,0.283305 0.893191 1.631154,0.097843 -0.234781 0.755573,0.123577 -0.173828 0.877065,-0.066766 -0.480174 -0.021558,-0.133763 -0.836553 -0.337856,0.307264 0.718354 1.744268,0.100949 -0.295631 0.770236,0.309039 0.675639 1.752647,-0.106698 -0.986175 -0.210080,0.516242 1.523727 2.730868,0.294841 0.383531 1.685616,0.320575 1.621095 1.807109,-0.140419 -0.724778 -0.369277,0.282861 1.749802 1.629060,0.060129 0.620701 0.577524,0.069003 0.377143 0.619418,,,,
staff expense to income ratio,NMB Bank,,,,,,,,,,,,,,,,,4.235647 3.034543 4.793023,-1.883055 -2.272509 -2.061978,-0.479644 -0.348035 -0.489686,-0.659100 -0.504489 -0.690737,-0.692412 -0.394871 -0.728058,-0.762260 -0.388146 -0.806311,-0.930971 -0.413338 -0.995324,-0.932045 -0.411313 -0.996528,-0.894435 -0.419700 -0.954391,-0.473196 -0.392069 -0.482463,-0.636534 -0.095388 -0.665455,-0.731097 -0.147268 -0.771398,-0.891211 -0.557836 -0.950779,-0.514031 -0.362831 -0.528211,-0.690263 -0.358297 -0.725650,-0.763335 -0.397864 -0.807515,-0.751515 -0.450379 -0.794272,-0.491464 -0.517661 -0.502929,-0.284069 -0.052887 -0.270576,-0.644056 -0.330089 -0.673883,-0.290516 0.159704 -0.277800,-0.301262 -0.060941 -0.289839,-0.460301 0.039437 -0.468016,-0.506509 -0.081163 -0.519783,-0.631161 -0.325678 -0.659436,0.058725 -0.170289 0.113467,-0.181983 0.014966 -0.156206,-0.179834 0.087557 -0.153798,-0.150820 0.077139 -0.121293,0.398294 0.201866 0.493900,0.399369 0.480851 0.495104,0.150065 -0.290378 0.215799,0.544438 0.192485 0.657630,0.544438 -0.000431 0.657630,0.272568 -0.111698 0.353043,0.047979 -0.713964 0.101429,0.621809 -0.113658 0.744311,0.628256 -0.119302 0.751534,0.770102 0.152923 0.910449,0.609988 0.111653 0.731068,0.578825 0.062395 0.696155,1.035525 0.348926 1.207812,0.971050 0.365215 1.135578,0.721745 0.121625 0.856273,0.717447 0.239226 0.851458,0.399369 -0.272907 0.495104,0.489634 -0.173060 0.596231,0.569154 0.675564 0.685320,,,,
net profit margin,NMB Bank,,,,,,,,,,,,,,,,,0.254621 0.878138 0.418393,-1.380985 -1.458591 -2.989867,-0.776154 -0.276500 -1.729526,-1.003388 -0.742210 -2.203036,-1.252863 -1.502469 -2.722889,0.138586 1.125990 0.176601,0.011432 0.911195 -0.088363,0.103776 0.861527 0.104063,0.129400 0.849562 0.157459,0.133268 0.352626 0.165518,0.158892 0.402884 0.218914,0.124565 0.531822 0.147384,0.148256 0.334270 0.196750,0.272510 -0.137074 0.455669,0.174847 0.174181 0.252161,0.140037 0.286005 0.179623,0.143904 0.373054 0.187683,-0.014193 -0.262228 -0.141759,0.280245 -0.009722 0.471788,0.339713 0.109996 0.595707,0.382259 -0.168363 0.684364,0.305386 -0.083125 0.524177,0.276377 -0.487704 0.463729,0.454297 0.316589 0.834476,0.360986 -0.343999 0.640035,0.548092 1.097673 1.029925,0.662193 1.501240 1.267687,0.479922 0.793416 0.887872,0.321824 0.396965 0.558430,0.170496 0.064559 0.243093,0.146805 0.072075 0.193727,0.069932 0.107177 0.033540,0.265741 -0.119086 0.441564,0.640920 2.668439 1.223358,0.284596 0.235861 0.480855,-1.084613 -1.105414 -2.372290,-0.445455 0.692573 -1.040419,0.177264 0.942553 0.257198,0.364854 0.283431 0.648095,0.506029 0.489091 0.942275,-0.956008 -0.662685 -2.104304,0.412718 1.530378 0.747834,-0.017094 0.245277 -0.147804,0.280245 0.750252 0.471788,0.348416 0.495584 0.613841,-0.178575 0.221489 -0.484298,0.026903 0.639050 -0.056124,-0.346826 0.590320 -0.834896,,,,
income tax portion of operating profit,NMB Bank,,,,,,,,,,,,,,,,,,-0.046102 -0.167099 0.614208,-0.046099 0.671368 0.739282,-0.046099 0.693354 0.735874,-0.046100 1.035495 0.687140,-0.046097 0.836909 0.776088,-0.046100 1.083763 0.703157,-0.046101 0.636185 0.666692,-0.046114 0.410945 0.253642,-0.046096 0.977239 0.808464,-0.046145 -1.082806 -0.736040,-0.046147 -1.038705 -0.772847,-0.046147 -1.401384 -0.791932,-0.046138 -2.121951 -0.504297,-0.046143 -1.025866 -0.666176,-0.046145 -0.965858 -0.723772,-0.046144 -0.873978 -0.687306,-0.046128 -0.840736 -0.187694,-0.046142 -0.333335 -0.625621,-0.046145 -0.687420 -0.712866,-0.046146 -0.805844 -0.746605,,,-0.046144 -0.879110 -0.695485,-0.046145 -0.897876 -0.734677,-0.046132 -0.383209 -0.321628,-0.046140 -0.608694 -0.581999,-0.046142 -0.713936 -0.640276,-0.046144 -0.558454 -0.692418,,,-0.046014 0.225047 3.399225,-0.045992 0.019525 4.104339,-0.046137 -0.499038 -0.473965,-0.046145 -0.513031 -0.709799,-0.046121 -0.639423 0.034508,-0.046135 -0.681986 -0.415689,-0.046110 -0.382310 0.390985,-0.046131 -0.453555 -0.290615,-0.046123 -0.412402 -0.044558,-0.046141 -0.791386 -0.599380,-0.046113 -0.402701 0.287041,-0.046139 -0.667820 -0.526108,-0.046146 -0.703064 -0.743197,-0.046132 -0.401021 -0.317538,-0.046103 -0.221642 0.604325,-0.046130 -0.549511 -0.253127,-0.046110 -0.446519 0.390644,,,,
loan to deposit ratio,NMB Bank,,,,,,,,,,,,,,,,,-0.035320 0.416618 -0.190335,-0.037860 0.426725 -0.514843,-0.026077 1.621967 0.990490,-0.039270 0.258270 -0.695029,-0.042522 0.228263 -1.110504,-0.034655 0.887605 -0.105491,-0.036675 0.651755 -0.363523,-0.040167 0.199795 -0.809612,-0.046418 -0.410070 -1.608200,-0.040626 0.171982 -0.868216,-0.042029 -0.034977 -1.047527,-0.039962 0.299603 -0.783372,-0.042659 -0.000149 -1.127998,-0.039284 0.613306 -0.696778,-0.046117 -0.901472 -1.569714,-0.041495 -0.454063 -0.979301,-0.043159 -0.049194 -1.191850,-0.044069 -0.250221 -1.308183,-0.037052 1.198102 -0.411631,-0.037613 0.896255 -0.483355,0.002056 3.635230 4.584572,-0.037469 0.666667 -0.464986,-0.035361 0.458293 -0.195583,-0.036285 0.341030 -0.313666,-0.036614 0.496967 -0.355651,-0.034724 0.790542 -0.114238,-0.034635 0.661225 -0.102867,-0.035518 -0.041203 -0.215701,-0.033752 -0.243162 0.009968,-0.029137 1.949437 0.599506,-0.028795 1.724126 0.643240,-0.029089 0.571437 0.605629,-0.030917 0.503198 0.372088,-0.031068 0.071893 0.352844,-0.031034 0.099513 0.357218,-0.031225 -0.156730 0.332727,-0.032766 0.622353 0.135922,-0.030431 1.195003 0.434190,-0.026474 1.858780 0.939758,-0.027295 0.939743 0.834796,-0.029945 1.052116 0.496293,-0.027343 0.637307 0.828673,-0.027959 0.273251 0.749952,-0.027056 1.041818 0.865410,-0.027740 0.673852 0.777942,-0.024529 2.417994 1.188169,-0.027302 2.189768 0.833921,-0.028391 1.730219 0.694846,,,,
reserves,Prabhu Bank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.078167 -1.023938 -1.234125,-0.081225 -1.228171 -1.334516,-0.080242 -1.243346 -1.302216,-0.077450 -1.173209 -1.210570,-0.074541 -0.931284 -1.115093,-0.071956 -0.917453 -1.030203,-0.081240 -1.041804 -1.334992,-0.078846 -1.048022 -1.256401,-0.076454 -1.118211 -1.177885,-0.065568 -0.902353 -0.820494,-0.059471 -0.694399 -0.620344,-0.057287 -0.758339 -0.548645,-0.047479 -0.388739 -0.226675,-0.043981 -0.307176 -0.111849,-0.040204 -0.424174 0.012153,-0.039955 -0.445134 0.020336,-0.020456 -0.363610 0.660452,,-0.036440 -0.178029 0.135728,-0.034261 -0.182208 0.207250,-0.027739 -0.251001 0.421363,-0.034558 -0.376245 0.197483,-0.025941 -0.444490 0.480371,-0.030417 -0.483888 0.333453,-0.028850 -0.562204 0.384889,-0.030354 -0.570889 0.335511,-0.029244 -0.594690 0.371938,-0.026905 -0.605399 0.448737,-0.023608 -0.617945 0.556978,-0.021503 -0.598644 0.626080,-0.015123 -0.490217 0.835507,-0.012273 -0.505359 0.929069,-0.006428 -0.527435 1.120963,0.031770 -0.043529 2.374945,0.046875 0.071554 2.870802,,,,
debenture and bond,Prabhu Bank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
borrowings,Prabhu Bank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.361043 -0.667796 -0.280649,-0.484221 -0.932930 -0.800115,-0.484238 -0.473027 -0.800184,-0.482072 -0.767429 -0.791051,-0.488503 -0.465981 -0.818172,-0.473053 -0.963303 -0.753016,-0.482251 -1.092192 -0.791804,-0.485895 -1.110220 -0.807171,-0.483787 -0.995373 -0.798284,-0.471296 -0.621337 -0.745607,-0.461474 -0.739190 -0.704185,-0.391350 -0.412604 -0.408460,-0.004188 -0.185856 1.224277,-0.076199 -0.300851 0.920590,0.047784 -0.176805 1.443451,-0.212016 -0.270370 0.347827,0.402873 0.140868 2.940928,,,-0.053266 -0.354788 1.017305,,,,-0.294554 -0.710487 -0.000252,-0.489907 -0.884688 -0.824090,-0.457808 -0.546228 -0.688723,-0.411678 -0.588902 -0.494185,-0.404374 -0.658247 -0.463383,-0.206956 -0.126308 0.369164,,,,,0.026311 -0.162136 1.352895,0.026311 -0.503815 1.352895,,,,
deposits,Prabhu Bank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.055067 -0.727209 -1.326577,-0.054528 -0.760325 -1.302018,-0.053288 -0.685831 -1.245560,-0.051261 -0.508929 -1.153303,-0.049981 -0.206901 -1.094999,-0.049140 -0.412231 -1.056698,-0.046754 -0.270610 -0.948110,-0.044428 -0.271281 -0.842207,-0.042845 -0.154128 -0.770118,-0.041056 -0.034353 -0.688680,-0.040552 -0.051805 -0.665733,-0.037030 0.203394 -0.505378,-0.036497 0.108338 -0.481115,-0.035321 0.119279 -0.427552,-0.034736 0.037277 -0.400913,-0.031268 0.355140 -0.243024,-0.029141 0.245721 -0.146221,,-0.027525 0.339885 -0.072651,-0.025746 0.281059 0.008354,-0.027879 -0.250228 -0.088758,-0.024596 -0.017856 0.060716,-0.023667 -0.143470 0.103024,-0.019886 -0.079122 0.275135,-0.018131 -0.142881 0.355051,-0.007718 0.390855 0.829123,-0.007050 0.267640 0.859549,-0.006685 0.073545 0.876158,-0.006439 0.003018 0.887350,-0.007109 -0.163409 0.856852,-0.005877 -0.131154 0.912967,-0.001640 0.004524 1.105862,-0.004675 -0.189954 0.967668,0.031747 0.863444 2.625918,0.034163 0.791732 2.735888,,,,
income tax liability,Prabhu Bank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.101145 0.100391 -0.354209,-0.116718 -0.946715 -0.916452,,,,,,,,,,-0.120015 -0.551926 -1.035504,-0.120095 -1.058609 -1.038380,-0.119753 -0.997499 -1.026049,-0.119658 -0.773041 -1.022611,,,-0.037428 -0.164486 1.946215,-0.037931 -0.254977 1.928042,-0.077839 -0.289254 0.487238,-0.114511 -0.530821 -0.836759,-0.077429 -0.494571 0.502027,-0.117183 -0.674824 -0.933230,-0.088271 -0.420806 0.110583,-0.081744 -0.374266 0.346222,-0.066038 -0.359428 0.913288,,-0.100714 -0.560979 -0.338653,-0.084185 -0.512983 0.258091,-0.100899 -0.578526 -0.345344,-0.106680 -0.505584 -0.554047,-0.038444 -0.174049 1.909530,,,,,,
other liabilities,Prabhu Bank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.023468 0.731468 -0.713086,-0.034052 0.481344 -0.937536,-0.027942 0.340659 -0.807963,-0.047941 0.132046 -1.232099,-0.047299 0.594421 -1.218473,-0.047366 -0.185067 -1.219892,0.039962 0.260426 0.632089,0.027431 0.718122 0.366346,0.026080 0.248982 0.337695,0.009383 0.169645 -0.016401,-0.002020 0.056606 -0.258220,-0.003092 0.359423 -0.280970,-0.009599 -0.064577 -0.418956,-0.003568 0.075494 -0.291060,-0.008224 0.288592 -0.389808,0.021077 0.344459 0.231596,-0.052505 -0.538743 -1.328887,,-0.018797 -0.109089 -0.614029,0.006926 0.117470 -0.068516,0.016231 -0.240657 0.128819,-0.011768 0.011699 -0.464947,0.054501 0.369652 0.940421,-0.003541 0.052104 -0.290492,-0.013160 0.474376 -0.494484,-0.007022 -0.058713 -0.364297,0.009143 0.156070 -0.021493,0.029079 0.111525 0.401304,0.046282 0.552641 0.766117,-0.002683 -0.002254 -0.272281,0.008517 0.021777 -0.034771,0.041671 0.018279 0.668340,0.057518 0.929147 1.004415,0.183616 0.424178 3.678611,0.131950 0.743528 2.582908,,,,
total assets,Prabhu Bank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.053276 -0.641568 -1.277458,-0.052891 -0.652033 -1.258829,-0.051953 -0.616420 -1.213538,-0.050642 -0.501139 -1.150256,-0.049671 -0.411268 -1.103337,-0.049011 -0.509858 -1.071448,-0.046270 -0.234356 -0.939105,-0.044428 -0.232201 -0.850113,-0.043264 -0.190381 -0.793918,-0.041916 -0.129425 -0.728831,-0.041530 -0.141909 -0.710176,-0.038936 0.043695 -0.584889,-0.038152 -0.041429 -0.547017,-0.037065 -0.005844 -0.494528,-0.036154 -0.003854 -0.450530,-0.033520 0.027031 -0.323342,-0.031921 0.085675 -0.246107,,-0.030433 -0.041704 -0.174212,-0.028554 0.004811 -0.083495,-0.025920 -0.249940 0.043728,-0.025774 -0.144481 0.050790,-0.024237 -0.237095 0.124997,-0.019697 0.010560 0.344263,-0.017175 0.020074 0.466083,-0.009169 0.390535 0.852724,-0.007955 0.242077 0.911328,-0.007032 0.120405 0.955921,-0.007404 -0.019172 0.937941,-0.006322 -0.012489 0.990231,-0.004966 0.020764 1.055727,-0.003025 0.016308 1.149444,-0.005031 -0.104680 1.052563,0.025837 0.903746 2.543333,0.025396 0.761294 2.522056,,,,
loan and advancements,Prabhu Bank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.053998 -0.847295 -1.251334,-0.052859 -0.791919 -1.194805,-0.052338 -0.789997 -1.168935,-0.051975 -0.780247 -1.150937,-0.051858 -0.829287 -1.145147,-0.051236 -0.886675 -1.114277,-0.046799 -0.250894 -0.894032,-0.045436 -0.469385 -0.826436,-0.044188 -0.300047 -0.764493,-0.042498 0.023612 -0.680627,-0.041415 -0.145813 -0.626878,-0.040573 -0.192320 -0.585064,-0.038881 -0.115515 -0.501108,-0.037161 -0.079180 -0.415724,-0.036655 -0.179213 -0.390608,-0.035626 -0.201494 -0.339584,-0.032080 -0.008325 -0.163596,,-0.030696 -0.122566 -0.094890,-0.030551 -0.192243 -0.087684,-0.028631 -0.250389 0.007579,-0.027671 -0.326588 0.055220,-0.026090 -0.424590 0.133667,-0.025872 -0.410192 0.144488,-0.020426 -0.082106 0.414796,-0.016625 0.009319 0.603405,-0.012162 -0.024384 0.824905,-0.012106 -0.126829 0.827682,-0.010562 -0.286348 0.904319,-0.009551 -0.391087 0.954498,-0.009249 -0.381996 0.969463,-0.008567 -0.357192 1.003345,-0.007017 -0.283135 1.080234,0.026940 0.875210 2.765438,0.025764 0.720850 2.707122,,,,
interest income,Prabhu Bank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.067158 -0.843878 -1.519346,-0.059178 -0.388238 -1.125312,-0.051780 -0.407137 -0.760075,-0.043703 -0.465225 -0.361323,-0.065283 -0.481798 -1.426745,-0.057365 -0.857772 -1.035807,-0.047837 -0.686470 -0.565392,-0.035429 -0.635429 0.047178,-0.063452 -0.586457 -1.336353,-0.047731 -0.014946 -0.560167,-0.033651 -0.198868 0.134986,-0.015192 -0.446919 1.046333,-0.053890 -0.153748 -0.864270,-0.033057 -0.419967 0.164310,-0.011507 -0.264573 1.228281,0.015869 0.077689 2.579904,-0.045192 0.232628 -0.434821,,-0.043885 -0.167003 -0.370265,-0.042587 -0.310017 -0.306193,-0.040223 -0.250179 -0.189492,-0.043276 -0.497329 -0.340219,-0.042124 -0.329143 -0.283339,-0.042010 -0.402138 -0.277738,-0.037471 0.029874 -0.053630,-0.040805 -0.040408 -0.218209,-0.039664 -0.065509 -0.161907,-0.039086 -0.202516 -0.133330,-0.034520 -0.093358 0.092065,-0.031078 -0.105640 0.262007,-0.025854 -0.253101 0.519927,-0.017344 -0.273986 0.940116,-0.012384 -0.139886 1.184956,-0.015736 -0.380601 1.019491,0.026492 0.842905 3.104380,,,,
interest expense,Prabhu Bank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.067805 -0.758986 -1.336361,-0.062889 -0.907965 -1.103620,-0.057784 -1.015980 -0.861913,-0.053192 -1.274822 -0.644535,-0.066542 -0.304245 -1.276577,-0.060406 -0.628203 -0.986059,-0.054288 -0.627492 -0.696430,-0.047539 -0.693683 -0.376891,-0.065759 -0.563986 -1.239526,-0.057674 -0.779860 -0.856720,-0.044582 -0.595074 -0.236894,-0.026185 -0.589336 0.634140,-0.052051 -0.044926 -0.590484,-0.031746 -0.045995 0.370822,-0.010403 -0.259567 1.381336,0.013528 0.066224 2.514365,-0.048925 0.118044 -0.442490,,-0.048409 -0.418321 -0.418052,-0.045897 -0.412232 -0.299117,-0.045778 -0.250612 -0.293525,-0.044673 -0.388277 -0.241193,-0.044361 -0.506912 -0.226402,-0.042729 -0.439702 -0.149133,-0.046250 -0.665032 -0.315838,-0.040278 0.276038 -0.033121,-0.040658 0.226124 -0.051095,-0.040688 -0.027028 -0.052520,-0.037522 -0.127915 0.097364,-0.031970 -0.258672 0.360239,-0.025662 -0.238461 0.658905,-0.018630 -0.283973 0.991802,-0.012996 -0.209352 1.258562,-0.009422 -0.182349 1.427783,0.024486 0.785492 3.033178,,,,
net interest income,Prabhu Bank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.066416 -0.838418 -1.710721,-0.052728 -0.168772 -1.042013,-0.041092 -0.156119 -0.473524,-0.026505 -0.278792 0.239069,-0.063405 -0.439369 -1.563628,-0.052237 -0.687676 -1.018006,-0.036372 -0.571468 -0.242946,-0.013381 -0.403247 0.880224,-0.059604 -0.421289 -1.377923,-0.029579 0.251990 0.088898,-0.013897 0.036596 0.855013,0.004297 -0.298760 1.743868,-0.058185 -0.179822 -1.308604,-0.036769 -0.587706 -0.262365,-0.015270 -0.558802 0.787981,0.018140 -0.342873 2.420182,-0.038991 0.305749 -0.370902,,-0.036194 0.238931 -0.234278,-0.037250 -0.078351 -0.285848,-0.030633 -0.249377 0.037416,-0.041589 -0.603654 -0.497832,-0.038852 -0.450753 -0.364126,-0.041651 -0.325064 -0.500835,-0.021763 0.726065 0.470739,-0.042854 -0.438300 -0.559639,-0.038825 -0.385611 -0.362815,-0.037092 -0.436877 -0.278132,-0.029940 -0.040040 0.071266,-0.030612 0.149665 0.038432,-0.027574 -0.269943 0.186882,-0.016405 -0.248156 0.732523,-0.012842 -0.012977 0.906576,-0.029392 -0.733905 0.098027,0.027901 0.914429 2.897040,,,,
