Particulars,Q1 2064,Q2 2064,Q3 2064,Q4 2064,Q1 2065,Q2 2065,Q3 2065,Q4 2065,Q1 2066,Q2 2066,Q3 2066,Q4 2066,Q1 2067,Q2 2067,Q3 2067,Q4 2067,Q1 2068,Q2 2068,Q3 2068,Q4 2068,Q1 2069,Q2 2069,Q3 2069,Q4 2069,Q1 2070,Q2 2070,Q3 2070,Q4 2070,Q1 2071,Q2 2071,Q3 2071,Q4 2071,Q1 2072,Q2 2072,Q3 2072,Q4 2072,Q1 2073,Q2 2073,Q3 2073,Q4 2073,Q1 2074,Q2 2074,Q3 2074,Q4 2074,Q1 2075,Q2 2075,Q3 2075,Q4 2075,Q1 2076,Q2 2076,Q3 2076,Q4 2076,Q1 2077,Q2 2077,Q3 2077,Q4 2077,Q1 2078,Q2 2078,Q3 2078,Q4 2078,Q1 2079,Q2 2079,Q3 2079,Q4 2079,Q1 2080,Q2 2080,Q3 2080,Q4 2080,Bank
loan to deposit ratio,,,,,,,,,,86.87,91.25,91.1,79.89,85.69,89.35,87.67,84.82,82.35,84.91,80.28,77.09,81.73,81.44,82.11,79.13,80.88,81.45,83.57,82.23,84.49,86.16,86.5,83.47,82.58,86.15,88.64,81.52,84.48,85.09,85.29,80.27,84.82,88.19,87.28,88.01,90.13,91.98,93.02,95.69,96.46,101.28,101.01,93.53,91.39,91.68,96.25,90.17,99.64,99.64,102.04,98.33,98.71,94.31,92.37,,,,,Global Bank
reserves,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3652318.0,4127075.0,4695325.0,5138446.0,3907705.0,4569252.0,9884244.0,10620532.0,8400063.0,9299557.0,10092513.0,11966239.0,9118381.0,9965124.0,10978222.0,11733474.0,15794148.0,12075064.0,10556402.0,10955360.0,10837039.0,10092409.0,11566687.0,11405356.0,12005183.0,12154530.0,12950115.0,14270157.0,14234453.0,14122145.0,14380301.0,14709216.0,15131758.0,,,,,,,Investment Bank
debenture and bond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1800000.0,1800000.0,1800000.0,1550000.0,1550000.0,1550000.0,1550000.0,1550000.0,1550000.0,1550000.0,1550000.0,1550000.0,1550000.0,1550000.0,1550000.0,1250000.0,1250000.0,1250000.0,,,,,,,,,,,,,,,,,,,,,,Investment Bank
borrowings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,407821.0,318804.0,288750.0,263116.0,274548.0,783549.0,280636.0,250480.0,1049775.0,255409.0,241089.0,241324.0,242967.0,1438272.0,2692048.0,762666.0,1370062.0,1582673.0,,,,,,,,,,,,3547500.0,3648000.0,3825000.0,2752500.0,,,,,,,Investment Bank
deposits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74938731.0,79925467.0,81165151.0,90630660.0,95897811.0,98067810.0,112632377.0,108604530.0,112746030.0,116603841.0,119796795.0,125476380.0,131052822.0,129695747.0,130032857.0,139984528.0,141163966.0,142067853.0,141994242.0,149336508.0,151256195.0,149942120.0,156752753.0,166338554.0,184734271.0,166334696.0,165948007.0,174525590.0,170750893.0,173657405.0,179885038.0,184778724.0,192297694.0,,,,,,,Investment Bank
income tax liability,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,132099.0,5409.0,6884.0,3432.0,78292.0,1464.0,5084.0,,240237.0,60599.0,10661.0,,228033.0,27476.0,42034.0,268726.0,,,827303.0,852192.0,809344.0,865739.0,886570.0,965958.0,1044056.0,1300863.0,1316158.0,1799337.0,1514089.0,1520073.0,1357808.0,1132627.0,1051109.0,,,,,,,Investment Bank
other liabilities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3726464.0,3341738.0,2995511.0,7198391.0,3730600.0,3253746.0,21863231.0,3142442.0,12727171.0,6984095.0,7628691.0,6313019.0,8963955.0,5555415.0,6649588.0,8600009.0,5583249.0,6073006.0,6178172.0,3815754.0,3818978.0,4396906.0,4057034.0,3708087.0,4257211.0,5258344.0,5571651.0,6542356.0,7707340.0,4693471.0,5186343.0,8816791.0,6087665.0,,,,,,,Investment Bank
total assets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89426147.0,94289697.0,95709057.0,109555249.0,111784656.0,114568594.0,153458044.0,131423493.0,145419887.0,143460113.0,148045341.0,154787342.0,161782594.0,158956970.0,162604781.0,172806051.0,175807025.0,175671843.0,179300411.0,186976580.0,187910090.0,189137864.0,196786340.0,204323462.0,224868971.0,212828615.0,218330978.0,230772920.0,235540000.0,233680410.0,239140389.0,247790339.0,254241935.0,,,,,,,Investment Bank
loan and advancements,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59818119.0,63744668.0,66149034.0,67690199.0,74110818.0,77482671.0,84374373.0,87009792.0,94445281.0,96709906.0,101946234.0,106683877.0,107968136.0,113671155.0,118860752.0,122388438.0,124608346.0,127416902.0,128156576.0,127520390.0,134592088.0,137200273.0,143162811.0,140377575.0,144228357.0,142859119.0,160982035.0,161986657.0,168835827.0,173827886.0,173461996.0,165129087.0,175657349.0,,,,,,,Investment Bank
interest income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1373686.0,2777577.0,4228889.0,5793434.0,1442802.0,3194683.0,4893848.0,6808711.0,1899862.0,4043556.0,6424193.0,9385518.0,3223172.0,6420116.0,9757988.0,13487574.0,3751680.0,7644899.0,3808827.0,3567899.0,3905128.0,3869054.0,3835868.0,3657291.0,4008856.0,3330999.0,3192133.0,3265260.0,3361287.0,3662743.0,4393616.0,5501768.0,5890290.0,,,,,,,Investment Bank
interest expense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,668168.0,1336255.0,2021713.0,2807166.0,787713.0,1519910.0,2178861.0,2850423.0,767713.0,1665341.0,2857502.0,4441059.0,1881278.0,3704187.0,5602743.0,7719205.0,2156785.0,4292444.0,2198463.0,2306325.0,2357499.0,2312801.0,2343053.0,2408582.0,2354610.0,1960239.0,1856561.0,1946683.0,2063497.0,2507572.0,2878024.0,3434253.0,3735577.0,,,,,,,Investment Bank
net interest income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,705518.0,1441322.0,2207176.0,2986268.0,655089.0,1674773.0,2714987.0,3958288.0,1132149.0,2378215.0,3566691.0,4944459.0,1341894.0,2715929.0,4155245.0,5768369.0,1594895.0,3352455.0,1610364.0,1261574.0,1547629.0,1556253.0,1492815.0,1248709.0,1654246.0,1370760.0,1335572.0,1318577.0,1297790.0,1155171.0,1515592.0,2067515.0,2154713.0,,,,,,,Investment Bank
net fee and commission income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,129130.0,239478.0,388449.0,514080.0,135193.0,278076.0,494496.0,640741.0,199524.0,439982.0,695769.0,909419.0,236428.0,537699.0,765496.0,983918.0,255340.0,572957.0,228933.0,341109.0,255660.0,317368.0,343998.0,353157.0,243971.0,269306.0,347875.0,412319.0,388238.0,337772.0,319504.0,1496220.0,369001.0,,,,,,,Investment Bank
total operating income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,977506.0,2006809.0,3087717.0,4205394.0,985817.0,2324680.0,3806098.0,5486787.0,1605019.0,3335508.0,5007125.0,6885567.0,1818380.0,3745786.0,5699489.0,7864642.0,2231289.0,4452795.0,2098357.0,1943010.0,2137161.0,2119389.0,2111195.0,1805960.0,2148953.0,1866993.0,2316251.0,2374514.0,2070474.0,1765374.0,2016391.0,3690204.0,2755007.0,,,,,,,Investment Bank
staff expenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111322.0,223905.0,337228.0,492081.0,124072.0,250115.0,378570.0,589760.0,151293.0,305239.0,457330.0,701960.0,201090.0,403389.0,611716.0,937625.0,414274.0,816160.0,345481.0,432229.0,394356.0,393474.0,395210.0,293554.0,352275.0,426838.0,479821.0,525372.0,449442.0,420580.0,442353.0,694890.0,517213.0,,,,,,,Investment Bank
operating profit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,535815.0,1151677.0,1839560.0,2562858.0,586081.0,1458659.0,2480521.0,3770025.0,1131762.0,2405634.0,3581877.0,4997712.0,1241036.0,2484784.0,3800119.0,4757016.0,1532069.0,2867393.0,858047.0,573300.0,1167773.0,1196178.0,1206320.0,104148.0,921407.0,1428340.0,1851647.0,1193399.0,1310926.0,1125530.0,1235915.0,3135300.0,1650467.0,,,,,,,Investment Bank
non operating income expense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1361.0,1361.0,17934.0,15592.0,4056.0,10825.0,14495.0,19433.0,41886.0,53635.0,73605.0,80005.0,91140.0,101400.0,113849.0,18695.0,,,23528.0,416066.0,13806.0,1633.0,13873.0,-684.0,-42.0,-55776.0,25720.0,93009.0,21815.0,-75749.0,20656.0,-800899.0,34488.0,,,,,,,Investment Bank
profit for the period,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,488412.0,965427.0,1531420.0,1974541.0,429777.0,1091323.0,1862552.0,2598840.0,770146.0,1640294.0,2377699.0,3296980.0,911396.0,1856639.0,2868649.0,3624838.0,1069734.0,1990064.0,620529.0,919857.0,813446.0,840199.0,859023.0,103056.0,644943.0,946379.0,1320810.0,942515.0,919456.0,738212.0,885797.0,1645992.0,1189806.0,,,,,,,Investment Bank
capital fund to rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,11.92,11.88,11.99,11.31,11.69,16.12,16.19,13.93,14.28,13.78,14.47,12.78,13.07,13.25,13.34,13.02,11.9,11.97,13.65,13.17,13.37,12.59,13.23,12.63,13.98,14.78,14.64,14.52,14.5,14.79,15.99,15.44,,,,,,,Investment Bank
non performing loan to total loan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.55,1.13,1.28,1.25,1.07,1.1,0.78,0.68,0.71,0.7,0.64,0.83,1.04,1.12,0.76,1.03,1.21,2.04,3.04,2.78,2.84,2.9,2.67,2.91,2.8,2.75,2.32,2.46,2.27,20.6,2.2,1.47,1.57,,,,,,,Investment Bank
total loan loss provision to npl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150.41,199.81,162.66,173.96,192.25,180.32,234.71,261.17,250.21,252.56,266.86,223.71,191.98,176.28,244.93,196.79,168.23,116.17,93.18,118.86,121.09,121.97,134.18,150.08,166.45,167.18,168.34,165.59,174.61,185.11,174.7,211.72,196.48,,,,,,,Investment Bank
cost of fund,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.69,3.6,3.67,3.63,3.49,3.16,2.65,2.76,2.89,3.53,4.55,5.84,6.08,6.21,6.35,6.31,6.27,6.59,6.48,6.31,6.34,6.37,6.38,5.85,5.48,4.69,4.31,4.04,2.59,5.84,6.64,7.06,7.68,,,,,,,Investment Bank
base rate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.49,6.07,6.16,6.54,5.83,5.45,4.8,5.08,5.22,5.69,6.89,8.36,8.91,9.0,9.12,9.02,9.03,8.96,8.54,8.33,8.48,8.53,8.53,7.51,7.34,6.56,5.95,5.74,6.09,7.21,8.06,8.54,9.18,,,,,,,Investment Bank
net interest spread,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.52,4.54,4.5,4.46,4.57,4.43,4.96,4.45,4.37,4.46,4.88,3.9,4.32,4.05,4.28,4.59,4.53,4.24,4.24,4.38,4.36,4.41,4.18,3.99,4.14,4.14,3.57,3.33,4.89,2.69,3.27,4.0,3.38,,,,,,,Investment Bank
market share price,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,621.0,646.0,549.0,549.0,,,,373.0,431.0,414.0,485.0,466.0,460.0,460.0,460.0,460.0,265.0,265.0,,,,,,,Investment Bank
return on equity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.2,21.7,21.57,19.93,16.77,20.0,14.49,14.54,18.01,18.22,17.43,15.55,18.46,17.95,17.61,16.13,16.18,16.11,,,,,,,,,,,,,,,,,,,,,,Investment Bank
return on total assets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.18,2.05,2.13,1.8,1.54,1.91,1.62,1.98,2.12,2.29,2.22,2.13,2.25,2.34,2.35,2.1,2.43,2.27,,,,,,,,,,,,,,,,,,,,,,Investment Bank
credit to deposit ratio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.1,75.92,77.42,72.76,74.63,76.67,70.05,75.74,78.69,78.03,69.17,77.63,75.92,78.47,78.03,75.01,77.25,76.43,76.19,72.97,75.62,75.39,75.35,72.93,73.68,74.07,79.05,75.12,95.37,95.69,92.43,85.14,86.12,,,,,,,Investment Bank
debt ratio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.46,0.34,0.3,0.24,0.25,0.68,0.18,0.19,0.72,0.18,0.16,0.16,0.15,0.9,1.66,0.44,0.78,0.9,,,,,,,,,,,,1.52,1.53,1.54,1.08,,,,,,,Investment Bank
interest income to assets ratio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.54,2.95,4.42,5.29,1.29,2.79,3.19,5.18,1.31,2.82,4.34,6.06,1.99,4.04,6.0,7.81,2.13,4.35,2.12,1.91,2.08,2.05,1.95,1.79,1.78,1.57,1.46,1.41,1.43,1.57,1.84,2.22,2.32,,,,,,,Investment Bank
interest income margin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.79,1.53,2.31,2.73,0.59,1.46,1.77,3.01,0.78,1.66,2.41,3.19,0.83,1.71,2.56,3.34,0.91,1.91,0.9,0.67,0.82,0.82,0.76,0.61,0.74,0.64,0.61,0.57,0.55,0.49,0.63,0.83,0.85,,,,,,,Investment Bank
return on investment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.55,1.02,1.6,1.8,0.38,0.95,1.21,1.98,0.53,1.14,1.61,2.13,0.56,1.17,1.76,2.1,0.61,1.13,0.35,0.49,0.43,0.44,0.44,0.05,0.29,0.44,0.6,0.41,0.39,0.32,0.37,0.66,0.47,,,,,,,Investment Bank
commission to operating income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.21,11.93,12.58,12.22,13.71,11.96,12.99,11.68,12.43,13.19,13.9,13.21,13.0,14.35,13.43,12.51,11.44,12.87,10.91,17.56,11.96,14.97,16.29,19.56,11.35,14.42,15.02,17.36,18.75,19.13,15.85,40.55,13.39,,,,,,,Investment Bank
staff expense to income ratio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.39,11.16,10.92,11.7,12.59,10.76,9.95,10.75,9.43,9.15,9.13,10.19,11.06,10.77,10.73,11.92,18.57,18.33,16.46,22.25,18.45,18.57,18.72,16.25,16.39,22.86,20.72,22.13,21.71,23.82,21.94,18.83,18.77,,,,,,,Investment Bank
net profit margin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.97,48.11,49.6,46.95,43.6,46.95,48.94,47.37,47.98,49.18,47.49,47.88,50.12,49.57,50.33,46.09,47.94,44.69,29.57,47.34,38.06,39.64,40.69,5.71,30.01,50.69,57.02,39.69,44.41,41.82,43.93,44.6,43.19,,,,,,,Investment Bank
income tax portion of operating profit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.05,0.56,0.45,0.17,18.22,0.13,0.27,,31.19,3.69,0.45,,25.02,1.48,1.47,7.41,,,133.32,92.64,99.5,103.04,103.21,937.31,161.88,137.46,99.65,190.91,164.67,205.91,153.29,68.81,88.34,,,,,,,Investment Bank
loan to deposit ratio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.82,79.76,81.5,74.69,77.28,79.01,74.91,80.12,83.77,82.94,85.1,85.02,82.39,87.64,91.41,87.43,88.27,89.69,90.25,85.39,88.98,91.5,91.33,84.39,78.07,85.89,97.01,92.82,98.88,100.1,96.43,89.37,91.35,,,,,,,Investment Bank
reserves,,,,,,,,,,,,,,498566.0,591883.0,662588.0,757975.0,800532.0,635167.0,696001.0,885658.0,905506.0,982658.0,941520.0,828374.0,1112426.0,1127739.0,1258353.0,1169283.0,567761.0,716598.0,786272.0,887658.0,974325.0,1139907.0,1003133.0,1388260.0,1501686.0,1643566.0,1143499.0,2112466.0,2740780.0,2590947.0,2812200.0,1794861.1,3954897.0,4332841.0,2163705.93,2149711.011,2241780679.0,2241780.679,3050049.312,3823882.514,3595456.281,3503963.068,3805164.192,3890352.246,3942438.078,4271992.994,4678323.122,4617917.392,5036566.462,12066549.81,10486558.04,,,,,Kumari Bank
debenture and bond,,,,,,,,,,,,,,400000.0,400000.0,400000.0,400000.0,400000.0,400000.0,400000.0,400000.0,400000.0,400000.0,400000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kumari Bank
borrowings,,,,,,,,,,,,,,490900.0,972350.0,748985.0,660925.0,520557.0,78126.0,26945.0,5403.0,,,,,,,288000.0,201952.0,122570.0,160387.0,2456.0,328000.0,,350000.0,292910.0,,184200.0,1107335.0,1076648.0,7217.0,352655.0,323776.0,1467594.0,,2524741.0,1140405.0,,,,,,,,,,,,,,,,,,,,,,Kumari Bank
deposits,,,,,,,,,,,,,,16784422.0,16042037.0,16636573.0,16986279.0,18006627.0,20091092.0,20665627.0,21985198.0,22542701.0,23423356.0,23923568.0,25318569.0,25899464.0,27401862.0,27424123.0,27578376.0,29640596.0,29884768.0,31224317.0,33421911.0,34738471.0,34531231.0,34821620.0,37950525.0,40356967.0,39946389.0,39035512.0,52071282.0,54648930.0,57680957.0,61841742.0,59546335.52,72498235.0,75309867.0,68854311.4,73201353.71,78302898866.0,78302898.87,85506710.0,116547033.2,117026018,122728828.1,127696585.9,148694070.8,155182644.2,159821637.2,165403677.6,176767665.6,173976523.0,299691753.5,303286788.3,,,,,Kumari Bank
income tax liability,,,,,,,,,,,,,,,,,,1541.0,,,,,,,,,,,,,,,,,,,,,,,,,,,20755.15,,,12887.84,,109673028.0,109673.028,100205.915,,,23334.642,47493.496,48416.79,69010.879,59902.878,123949.371,108346.98,62977.487,140898.549,96183.062,,,,,Kumari Bank
other liabilities,,,,,,,,,,,,,,699663.0,288420.0,383974.0,311084.0,239920.0,276355.0,785732.0,735106.0,965630.0,994161.0,1068730.0,997766.0,1060511.0,1205081.0,1341941.0,1154490.0,1306348.0,1181786.0,1344964.0,1117472.0,1153332.0,1148436.0,1116931.0,1003823.0,1370777.0,1536520.0,1192845.0,2478802.0,2301740.0,1824693.0,2385387.0,1963702.05,1164902.0,920715.0,1054735.336,1585598.313,1012278039.0,1012278.039,2109018.435,2114966.127,1473417.749,1923028.127,1830950.659,2702994.416,2268822.498,2654928.669,2656555.26,2174199.641,4209802.498,8952067.672,6602897.136,,,,,Kumari Bank
total assets,,,,,,,,,,,,,,20180351.0,19601491.0,20317119.0,20601262.0,21454176.0,23084539.0,24178104.0,25615166.0,26417638.0,27403974.0,27937617.0,28973041.0,29676201.0,31338482.0,31916218.0,31932433.0,34068956.0,34375221.0,35789691.0,38186723.0,39297809.0,39601255.0,39933760.0,43041775.0,46112797.0,46932977.0,45714495.0,62639263.0,66013600.0,68389870.0,74476420.0,100289643.74,87305831.0,88867223.0,92590817.72,100289643.7,110103984663.0,110103984.7,124415905.4,153916672.2,162031072.2,168123087.7,183906017.1,199752350.7,201720187.0,203656636.0,207681515.1,211131474.5,214566486.2,371182706.5,369838666.6,,,,,Kumari Bank
loan and advancements,,,,,,,,,,,,,,14855630.0,14935380.0,15113710.0,14666309.0,15569380.0,16211290.0,16822933.0,17877540.0,19015383.0,19175278.0,19761617.0,20119789.0,20864133.0,21510540.0,22331275.0,22808503.0,23846139.0,25289247.0,26699294.0,27070390.0,27467481.0,27505974.0,28695897.0,30111445.0,32411102.0,33659893.0,34486276.0,45195171.0,47471234.0,50924405.0,56849368.0,62375510.4,67824218.0,70772203.0,72239404.3,76186364.69,80567642257.0,80567642.26,92756722.13,114888918.6,115194086,119968046.7,134734347.4,143122253.4,157381204.8,161801337.5,161650428.4,159216074.8,161457624.7,285230842.1,285777054.2,,,,,Kumari Bank
interest income,,,,,,,,,,,,,,495643.0,1067297.0,456470.0,2251469.0,557249.0,1129900.0,1740570.0,2441571.0,603838.0,1175406.0,1788145.0,2464307.0,583183.0,1167345.0,1779860.0,2410762.0,545070.0,1148213.0,1742797.0,2405354.0,607161.0,1271620.0,1897429.0,2692489.0,674901.0,1441067.0,2334466.0,3596442.0,1416602.0,2932188.0,4686942.0,2068916.088,2247788.0,4429156.0,2305744.112,2487901.552,2638781580.0,2638781.58,2710886.991,2685956.378,3327685.069,3065698.21,3116373.113,3417012.779,3749785.761,4148084.416,4954961.35,5700131.836,5935386.698,6884176.645,10311551.08,,,,,Kumari Bank
interest expense,,,,,,,,,,,,,,397438.0,777794.0,1159497.0,1566552.0,390412.0,795060.0,1193633.0,1622492.0,392036.0,743917.0,1094530.0,1486282.0,425549.0,815550.0,1192733.0,1575312.0,365292.0,714103.0,1072107.0,1507365.0,429247.0,806914.0,1146949.0,1517056.0,412377.0,886024.0,1520680.0,3596442.0,1059856.0,2110517.0,3345250.0,1426083.72,1419599.0,2891607.0,1589714.008,1694248.122,1714743951.0,1714743.951,1775951.286,1803499.357,2010173.303,1869409.522,1786366.341,2007253.008,2458175.205,2803666.306,3143574.215,3732388.715,3951477.921,4599377.586,7055107.49,,,,,Kumari Bank
net interest income,,,,,,,,,,,,,,98206.0,289502.0,456470.0,684917.0,166836.0,334840.0,546937.0,819079.0,211802.0,431489.0,693616.0,978025.0,157634.0,351795.0,587127.0,835450.0,179779.0,434110.0,670690.0,897989.0,177914.0,464706.0,750480.0,1175433.0,262524.0,555043.0,813786.0,1297165.0,356747.0,821671.0,1341692.0,642832.37,699840.0,1314992.0,716030.104,793653.43,924037629.0,924037.629,934935.705,882457.021,1317511.766,1196288.688,1330006.772,1409759.771,1291610.557,1344418.111,1811387.135,1967743.121,1983908.777,2284799.059,3256443.592,,,,,Kumari Bank
net fee and commission income,,,,,,,,,,,,,,26701.0,48057.0,75444.0,100035.0,27550.0,52929.0,77537.0,110902.0,33397.0,60828.0,94012.0,138200.0,47934.0,101739.0,144687.0,188725.0,42413.0,79689.0,121753.0,154645.0,40422.0,74088.0,109860.0,166752.0,51702.0,104753.0,150380.0,208568.0,61369.0,144324.0,215752.0,132623.25,120507.0,212455.0,91549.912,119004.433,166893139.0,166893.139,90538.343,88234.987,145366.854,192586.132,246892.239,189851.209,242828.994,156446.046,207630.907,211896.75,265746.346,211209.435,511546.974,,,,,Kumari Bank
total operating income,,,,,,,,,,,,,,157964.0,389884.0,602221.0,874983.0,214501.0,435107.0,691189.0,1022326.0,272287.0,543859.0,864043.0,1215080.0,236097.0,517541.0,840130.0,1165977.0,251990.0,573440.0,896563.0,1195288.0,263213.0,624970.0,991018.0,1513879.0,357407.0,743016.0,1091790.0,1685871.0,472482.0,1076971.0,1734402.0,866903.58,995011.0,1872700.0,892759.914,1037047.138,1193042648.0,1193042.648,1151625.69,1053177.461,1619320.221,1643845.675,1885365.973,1849066.751,1912059.243,1725002.708,2161690.587,2509658.369,2520049.578,2650026.347,3898390.317,,,,,Kumari Bank
staff expenses,,,,,,,,,,,,,,39965.0,79408.0,120446.0,168352.0,48750.0,97462.0,146826.0,194131.0,50411.0,100228.0,154588.0,203805.0,55344.0,113030.0,168092.0,221653.0,64046.0,134658.0,206281.0,284347.0,71708.0,143997.0,213576.0,316477.0,79971.0,160266.0,251873.0,374669.0,155589.0,295959.0,411370.0,285282.75,234495.0,463086.0,180993.063,369247.782,347174302.0,347174.302,507466.662,321102.597,465804.539,512633.775,653016.974,620207.909,692716.364,588422.477,689088.584,389991.056,726954.42,651072.201,568170.071,,,,,Kumari Bank
operating profit,,,,,,,,,,,,,,29484.0,151615.0,260640.0,433467.0,58006.0,39273.0,131601.0,429559.0,9125.0,152237.0,263731.0,466186.0,66179.0,86847.0,262445.0,469293.0,42440.0,227677.0,315967.0,341840.0,64783.0,295341.0,438195.0,783135.0,154987.0,359399.0,508463.0,801687.0,77584.0,345586.0,852870.0,335535.56,500011.0,964728.0,462193.778,504900.897,578788921.0,578788.921,349819.037,281746.948,873142.15,906412.455,912234.73,324447.66,804174.972,641350.084,1236545.039,1453068.983,1557785.013,169506.891,307693.388,,,,,Kumari Bank
non operating income expense,,,,,,,,,,,,,,82.0,233.0,371.0,497.0,58.0,97.0,3358.0,3427.0,23.0,49.0,328.0,11134.0,255.0,379.0,3458.0,2556.0,1023.0,1267.0,8087.0,6892.0,139.0,919.0,37432.0,31791.0,3150.0,4320.0,5876.0,16323.0,1492.0,30365.0,32192.0,28820.71,2565.0,11448.0,14124.696,12700.884,7975388.0,7975.388,9161.56,1047.775,515.097,17293.802,3647.235,6211.773,3962.52,848.217,7801.284,5618.927,-688.572,-3549.26,3690.016,,,,,Kumari Bank
profit for the period,,,,,,,,,,,,,,18815.0,112132.0,181430.0,276817.0,42326.0,25131.0,85964.0,275622.0,19965.0,97116.0,168244.0,291448.0,46463.0,61775.0,192389.0,340909.0,32836.0,181674.0,251348.0,352734.0,48682.0,210194.0,354984.0,740111.0,137436.0,279352.0,375897.0,700374.0,112096.0,480206.0,705676.0,339917.35,352958.0,683323.0,329882.62,326126.152,413431556.0,413431.556,205005.923,230033.386,614375.531,638145.359,641812.209,262268.861,573560.386,449247.231,878586.091,1071204.102,1123305.562,29832.94,217968.383,,,,,Kumari Bank
capital fund to rwa,,,,,,,,,,,,,,11.87,12.45,13.73,14.45,13.43,12.73,12.72,13.27,12.78,11.61,11.61,12.17,11.92,11.82,11.73,11.92,11.29,11.33,10.98,11.12,11.34,11.5,11.53,12.02,11.33,11.47,11.45,16.15,15.25,14.48,14.09,13.93,12.98,12.81,12.73,12.07,11.57,11.52,13.06,14.42,14.93,14.91,13.98,13.71,12.14,11.69,12.18,12.98,13.7,12.73,12.9,,,,,Kumari Bank
non performing loan to total loan,,,,,,,,,,,,,,1.18,0.89,1.08,1.12,2.2,4.04,4.46,2.24,4.42,4.38,4.83,2.89,3.59,4.26,3.69,3.19,4.38,3.84,3.98,2.76,2.91,2.55,2.03,1.11,1.26,1.14,1.26,1.86,1.97,1.61,1.24,1.01,1.14,1022.0,1.41,0.97,1.05,1.04,0.98,1.41,1.43,1.06,1.09,1.08,0.82,1.06,0.96,0.96,1.28,3.15,3.97,,,,,Kumari Bank
total loan loss provision to npl,,,,,,,,,,,,,,130.51,172.65,147.05,154.81,89.53,74.64,75.55,121.2,74.33,79.43,80.14,128.94,107.67,103.7,115.68,125.41,95.01,97.87,94.31,115.31,111.25,123.69,133.6,178.78,164.93,182.58,170.55,130.81,125.91,119.74,152.57,177.12,160.14,150.34,133.57,182.22,169.39,169.34,172.29,159.72,161.38,204.12,178.95,205.38,249.94,201.1,218.07,241.09,186.93,104.28,103.91,,,,,Kumari Bank
cost of fund,,,,,,,,,,,,,,9.22,9.37,9.46,9.56,8.83,8.78,8.61,8.43,7.02,6.76,6.6,6.61,6.55,6.33,6.17,6.03,5.03,4.92,4.91,5.0,4.89,4.69,4.5,4.41,4.38,4.7,5.32,5.93,7.75,7.83,8.67,8.25,7.91,8.12,8.29,8.35,7.22,7.5,7.56,6.77,6.28,5.82,5.09,5.55,5.46,5.98,7.24,7.76,8.75,9.05,8.95,,,,,Kumari Bank
base rate,,,,,,,,,,,,,,,,,,,,,,,9.92,10.0,10.36,9.61,9.01,8.5,8.86,8.33,8.05,8.1,8.66,7.54,7.09,6.76,7.15,7.5,8.07,10.3,11.31,11.15,11.17,11.62,11.6,11.09,11.55,11.02,10.82,10.68,10.45,10.65,10.08,8.4,7.92,7.63,7.9,7.88,8.93,9.85,10.57,10.99,11.73,10.93,,,,,Kumari Bank
